Trial_ID,group,condition,grammaticality,match_mismatch,prime,target,jitter,correct_response,floc_test
1,1,1,Right-order,mismatch,large brown turtle,small brown turtle,750,1,floc
2,1,5,Unrelated-list,mismatch,foxes pipes houses,foxes pipes cities,700,1,floc
3,2,1,Right-order,match,small gray flag,small gray flag,750,2,floc
4,2,5,Unrelated-list,match,books dogs bags,books dogs bags,650,2,floc
5,7,1,Right-order,mismatch,large green chair,small green chair,700,1,floc
6,7,5,Unrelated-list,mismatch,ships birds doors,ships birds notes,750,1,floc
7,11,1,Right-order,mismatch,large pink quilt,large gray quilt,600,1,floc
8,11,5,Unrelated-list,mismatch,boxes cups buses,books cups buses,750,1,floc
9,12,1,Right-order,match,heavy wooden barrel,heavy wooden barrel,750,2,floc
10,12,5,Unrelated-list,match,yards tigers shirts,yards tigers shirts,700,2,floc
11,13,1,Right-order,mismatch,chunky gray table,sturdy gray table,750,1,floc
12,13,5,Unrelated-list,mismatch,plates cows rings,plates cows cakes,650,1,floc
13,15,1,Right-order,mismatch,hollow black branch,hollow black tunnel,700,1,floc
14,15,5,Unrelated-list,mismatch,voices rings apples,voices cakes apples,700,1,floc
15,16,1,Right-order,match,thin yellow wire,thin yellow wire,700,2,floc
16,16,5,Unrelated-list,match,lies clouds nuts,lies clouds nuts,750,2,floc
17,17,1,Right-order,mismatch,thin gray line,thin pink line,700,1,floc
18,17,5,Unrelated-list,mismatch,eyes rats lids,eggs rats lids,650,1,floc
19,19,1,Right-order,mismatch,huge green flag,tall green flag,750,1,floc
20,19,5,Unrelated-list,mismatch,wars roads pins,wars roads gums,700,1,floc
21,23,1,Right-order,mismatch,brown wooden dish,brown copper dish,700,1,floc
22,23,5,Unrelated-list,mismatch,bells dreams toes,trees dreams toes,650,1,floc
23,24,1,Right-order,match,deep blue ocean,deep blue ocean,600,2,floc
24,24,5,Unrelated-list,match,legs pots games,legs pots games,600,2,floc
25,26,1,Right-order,match,tall narrow building,tall narrow building,600,2,floc
26,26,5,Unrelated-list,match,figs stamps chickens,figs stamps chickens,600,2,floc
27,28,1,Right-order,match,tall ancient tree,tall ancient tree,750,2,floc
28,28,5,Unrelated-list,match,kits needles ribs,kits needles ribs,650,2,floc
29,31,1,Right-order,mismatch,slow wide river,calm wide river,600,1,floc
30,31,5,Unrelated-list,mismatch,ants pens stars,ants pens files,600,1,floc
31,33,1,Right-order,mismatch,grand arched bridge,grand arched window,750,1,floc
32,33,5,Unrelated-list,mismatch,caves apples chairs,caves phones chairs,750,1,floc
33,35,1,Right-order,mismatch,long narrow road,long curved road,700,1,floc
34,35,5,Unrelated-list,mismatch,cows gloves pods,bars gloves pods,650,1,floc
35,36,1,Right-order,match,grand tall tree,grand tall tree,700,2,floc
36,36,5,Unrelated-list,match,boxes caps ants,boxes caps ants,750,2,floc
37,37,1,Right-order,mismatch,lovely little garden,serene little garden,700,1,floc
38,37,5,Unrelated-list,mismatch,chairs wolves trains,chairs wolves leaves,650,1,floc
39,39,1,Right-order,mismatch,tiny ancient ring,tiny ancient coin,700,1,floc
40,39,5,Unrelated-list,mismatch,maps enemies lids,maps markets lids,650,1,floc
41,40,1,Right-order,match,small green apple,small green apple,750,2,floc
42,40,5,Unrelated-list,match,bears tools boxes,bears tools boxes,600,2,floc
43,41,1,Right-order,mismatch,large brown flag,large green flag,650,1,floc
44,41,5,Unrelated-list,mismatch,folks roads bags,sites roads bags,750,1,floc
45,43,1,Right-order,mismatch,large white room,small white room,600,1,floc
46,43,5,Unrelated-list,mismatch,lions doors beds,lions doors bugs,600,1,floc
47,44,1,Right-order,match,massive purple room,massive purple room,650,2,floc
48,44,5,Unrelated-list,match,doctors flames nuts,doctors flames nuts,700,2,floc
49,45,1,Right-order,mismatch,huge purple flower,huge purple orchid,600,1,floc
50,45,5,Unrelated-list,mismatch,cups curves robots,cups chairs robots,600,1,floc
51,47,1,Right-order,mismatch,large gray chair,large blue chair,700,1,floc
52,47,5,Unrelated-list,mismatch,cakes fans games,boxes fans games,750,1,floc
53,48,1,Right-order,match,thin brown bark,thin brown bark,750,2,floc
54,48,5,Unrelated-list,match,pots doors dogs,pots doors dogs,750,2,floc
55,49,1,Right-order,mismatch,large green couch,small green couch,650,1,floc
56,49,5,Unrelated-list,mismatch,birds ships songs,birds ships ponds,600,1,floc
57,51,1,Right-order,mismatch,large green leaf,large green tree,700,1,floc
58,51,5,Unrelated-list,mismatch,ships names labs,ships balls labs,650,1,floc
59,52,1,Right-order,match,heavy wooden table,heavy wooden table,750,2,floc
60,52,5,Unrelated-list,match,shops clouds discs,shops clouds discs,650,2,floc
61,53,1,Right-order,mismatch,heavy gray anchor,heavy blue anchor,650,1,floc
62,53,5,Unrelated-list,mismatch,lakes ribs phones,shoes ribs phones,650,1,floc
63,55,1,Right-order,mismatch,curved purple wire,hollow purple wire,650,1,floc
64,55,5,Unrelated-list,mismatch,stamps colors bags,stamps colors nuts,600,1,floc
65,57,1,Right-order,mismatch,thin black gate,thin black wall,650,1,floc
66,57,5,Unrelated-list,mismatch,vans bells kits,vans birds kits,700,1,floc
67,60,1,Right-order,match,tall narrow gate,tall narrow gate,750,2,floc
68,60,5,Unrelated-list,match,hens phones bees,hens phones bees,600,2,floc
69,62,1,Right-order,match,tiny green apple,tiny green apple,600,2,floc
70,62,5,Unrelated-list,match,pots stars roads,pots stars roads,750,2,floc
71,64,1,Right-order,match,lovely warm sweater,lovely warm sweater,600,2,floc
72,64,5,Unrelated-list,match,trains legs kittens,trains legs kittens,750,2,floc
73,66,1,Right-order,match,long wide river,long wide river,750,2,floc
74,66,5,Unrelated-list,match,nuts hams stars,nuts hams stars,600,2,floc
75,67,1,Right-order,mismatch,narrow dark river,curved dark river,600,1,floc
76,67,5,Unrelated-list,mismatch,shirts cups birds,shirts cups waves,600,1,floc
77,70,1,Right-order,match,thin black twig,thin black twig,750,2,floc
78,70,5,Unrelated-list,match,bees doors pens,bees doors pens,600,2,floc
79,71,1,Right-order,mismatch,dark wooden table,dark marble table,600,1,floc
80,71,5,Unrelated-list,mismatch,cars apples books,lids apples books,600,1,floc
81,73,1,Right-order,mismatch,tiny brown mouse,cute brown mouse,600,1,floc
82,73,5,Unrelated-list,mismatch,beds hills stars,beds hills pears,750,1,floc
83,76,1,Right-order,match,small antique desk,small antique desk,700,2,floc
84,76,5,Unrelated-list,match,walls forests jets,walls forests jets,600,2,floc
85,80,1,Right-order,match,heavy black boot,heavy black boot,650,2,floc
86,80,5,Unrelated-list,match,clams games gems,clams games gems,700,2,floc
87,86,1,Right-order,match,pleasant green field,pleasant green field,650,2,floc
88,86,5,Unrelated-list,match,balloons belts beams,balloons belts beams,650,2,floc
89,87,1,Right-order,mismatch,thin white cloud,thin white paper,600,1,floc
90,87,5,Unrelated-list,mismatch,arms bells chips,arms cakes chips,600,1,floc
91,89,1,Right-order,mismatch,huge dark cave,huge deep cave,650,1,floc
92,89,5,Unrelated-list,mismatch,cows hats fins,hips hats fins,600,1,floc
93,92,1,Right-order,match,large sharp tooth,large sharp tooth,700,2,floc
94,92,5,Unrelated-list,match,beans bumps debts,beans bumps debts,700,2,floc
95,94,1,Right-order,match,long dark hall,long dark hall,600,2,floc
96,94,5,Unrelated-list,match,bows dots zoos,bows dots zoos,700,2,floc
97,95,1,Right-order,mismatch,warm black soil,warm brown soil,650,1,floc
98,95,5,Unrelated-list,mismatch,arms hills hams,pots hills hams,650,1,floc
99,100,1,Right-order,match,young leafy shrub,young leafy shrub,600,2,floc
100,100,5,Unrelated-list,match,cakes trees rings,cakes trees rings,750,2,floc
101,3,1,Right-order,mismatch,massive white room,massive white boat,600,1,test
102,3,2,Wrong-order,match,white massive room,white massive room,750,2,test
103,3,3,PS-violation,mismatch,massive room white,compact room white,600,1,test
104,3,4,Related-list,match,gardens paths dogs,gardens paths dogs,750,2,test
105,3,5,Unrelated-list,mismatch,beaches shoes cats,beaches lakes cats,750,1,test
106,4,1,Right-order,match,large purple flower,large purple flower,650,2,test
107,4,2,Wrong-order,mismatch,purple large flower,purple large orchid,750,1,test
108,4,3,PS-violation,match,large flower purple,large flower purple,600,2,test
109,4,4,Related-list,mismatch,shoes gloves purses,coats gloves purses,700,1,test
110,4,5,Unrelated-list,match,trees houses tables,trees houses tables,750,2,test
111,5,1,Right-order,mismatch,huge purple crystal,huge yellow crystal,600,1,test
112,5,2,Wrong-order,match,purple huge crystal,purple huge crystal,750,2,test
113,5,3,PS-violation,mismatch,huge crystal purple,huge crystal yellow,700,1,test
114,5,4,Related-list,match,pins frames handles,pins frames handles,700,2,test
115,5,5,Unrelated-list,mismatch,beds stamps circles,bins stamps circles,700,1,test
116,6,1,Right-order,match,small blue bottle,small blue bottle,750,2,test
117,6,2,Wrong-order,mismatch,blue small bottle,blue large bottle,750,1,test
118,6,3,PS-violation,match,small bottle blue,small bottle blue,750,2,test
119,6,4,Related-list,mismatch,books pens papers,books pens shirts,750,1,test
120,6,5,Unrelated-list,match,cakes keys phones,cakes keys phones,700,2,test
121,8,1,Right-order,match,thin gray book,thin gray book,700,2,test
122,8,2,Wrong-order,mismatch,gray thin book,blue thin book,600,1,test
123,8,3,PS-violation,match,thin book gray,thin book gray,650,2,test
124,8,4,Related-list,mismatch,pods lids pans,pods pins pans,600,1,test
125,8,5,Unrelated-list,match,beds maps toys,beds maps toys,650,2,test
126,9,1,Right-order,mismatch,large brown couch,large brown chair,650,1,test
127,9,2,Wrong-order,match,brown large couch,brown large couch,750,2,test
128,9,3,PS-violation,mismatch,large couch brown,small couch brown,750,1,test
129,9,4,Related-list,match,faces heads noses,faces heads noses,600,2,test
130,9,5,Unrelated-list,mismatch,desks foxes rings,desks coats rings,600,1,test
131,10,1,Right-order,match,tiny green leaf,tiny green leaf,600,2,test
132,10,2,Wrong-order,mismatch,green tiny leaf,green tiny line,750,1,test
133,10,3,PS-violation,match,tiny leaf green,tiny leaf green,700,2,test
134,10,4,Related-list,mismatch,vans buses cars,pens buses cars,600,1,test
135,10,5,Unrelated-list,match,wigs bears eggs,wigs bears eggs,700,2,test
