set,cond_tag,trial_item,item_n,condition_label,comp,condition,words,struc,target_frame,prime,target,match_manip,string_length
1,a,1a,1,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color green,the color green,SAME,15
1,b,1b,2,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the green color,the color green,DIFF,15
1,c ,1c ,3,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade black,the color green,DIFF,15
1,d,1d,4,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the black shade,the color green,DIFF,15
1,e,1e,5,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan beige green,tan beige green,SAME,15
1,f,1f,6,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan green beige,tan beige green,DIFF,15
1,g,1g,7,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan white black,tan beige green,DIFF,15
1,h,1h,8,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan black white,tan beige green,DIFF,15
2,a,2a,9,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the green color,the green color,SAME,15
2,b,2b,10,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color green,the green color,DIFF,15
2,c ,2c ,11,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the black shade,the green color,DIFF,15
2,d,2d,12,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade black,the green color,DIFF,15
2,e,2e,13,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue green beige,hue green beige,SAME,15
2,f,2f,14,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue beige green,hue green beige,DIFF,15
2,g,2g,15,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue black white,hue green beige,DIFF,15
2,h,2h,16,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue white black,hue green beige,DIFF,15
3,a,3a,17,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade green,the shade green,SAME,15
3,b,3b,18,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the green shade,the shade green,DIFF,15
3,c ,3c ,19,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color black,the shade green,DIFF,15
3,d,3d,20,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the black color,the shade green,DIFF,15
3,e,3e,21,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan white green,tan white green,SAME,15
3,f,3f,22,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan green white,tan white green,DIFF,15
3,g,3g,23,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan beige black,tan white green,DIFF,15
3,h,3h,24,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan black beige,tan white green,DIFF,15
4,a,4a,25,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the green shade,the green shade,SAME,15
4,b,4b,26,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade green,the green shade,DIFF,15
4,c ,4c ,27,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the black color,the green shade,DIFF,15
4,d,4d,28,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color black,the green shade,DIFF,15
4,e,4e,29,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue green white,hue green white,SAME,15
4,f,4f,30,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue white green,hue green white,DIFF,15
4,g,4g,31,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue black beige,hue green white,DIFF,15
4,h,4h,32,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue beige black,hue green white,DIFF,15
5,a,5a,33,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color black,the color black,SAME,15
5,b,5b,34,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the black color,the color black,DIFF,15
5,c ,5c ,35,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade green,the color black,DIFF,15
5,d,5d,36,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the green shade,the color black,DIFF,15
5,e,5e,37,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan beige black,tan beige black,SAME,15
5,f,5f,38,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan black beige,tan beige black,DIFF,15
5,g,5g,39,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan white green,tan beige black,DIFF,15
5,h,5h,40,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan green white,tan beige black,DIFF,15
6,a,6a,41,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the black color,the black color,SAME,15
6,b,6b,42,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color black,the black color,DIFF,15
6,c ,6c ,43,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the green shade,the black color,DIFF,15
